Fecha,Dia_Tipo,Tiempo,Temp_Min,Temp_Med,Temp_Max,GBA_Demanda_Max_MW,GBA_Demanda_Max_Hora,EDENOR_Demanda_Max_MW,EDENOR_Demanda_Max_Hora,EDESUR_Demanda_Max_MW,EDESUR_Demanda_Max_Hora,SADI_Demanda_Max_MW,SADI_Demanda_Max_Hora,GBA_Energia_MWh,EDENOR_Energia_MWh,EDESUR_Energia_MWh
2025-01-01,Feriado,VARIABLE,23.0,26.7,32.3,6585,15:30,3431,15:45,2630,16:30,18515,21:56,132652,69804,53370
2025-01-02,Hábil,BUENO,20.6,26.0,32.2,7564,15:15,3913,15:45,3098,15:30,22645,15:25,146340,76409,59970
2025-01-03,Hábil,BUENO,17.1,23.1,28.6,6538,21:15,3383,21:30,2618,16:45,20565,15:37,133029,69187,54401
2025-01-04,No,BUENO,16.5,21.4,25.3,5939,21:00,3040,21:15,2323,21:15,19761,15:34,119358,62544,47967
2025-01-05,Feriado,SEMINUBLADO,19.0,22.2,25.4,5812,21:45,3005,21:30,2282,21:30,18391,21:53,113567,59666,45511
2025-01-06,Hábil,SEMINUBLADO,19.7,23.2,28.3,6608,15:45,3430,21:30,2670,15:30,21910,15:06,131838,69082,53589
2025-01-07,Hábil,SEMINUBLADO,20.8,24.6,29.7,7212,15:45,3712,14:45,2940,15:30,22964,15:36,142326,74423,58157
2025-01-08,Hábil,SEMINUBLADO,21.9,25.7,30.8,7733,15:30,4005,15:45,3142,15:30,24131,14:48,151459,80012,61445
2025-01-09,Hábil,BUENO,22.2,26.6,31.9,7939,15:45,4122,15:45,3207,15:30,23227,15:12,157807,83553,63718
2025-01-10,Hábil,SEMINUBLADO,22.8,26.2,31.7,8205,14:45,4296,14:45,3306,15:00,23445,14:21,159623,84293,64634
2025-01-11,No,SEMINUBLADO,22.2,25.4,29.4,6790,15:15,3550,15:45,2675,14:15,20670,15:24,141852,74961,56797
2025-01-12,Feriado,SEMINUBLADO,22.3,25.8,30.0,6953,21:45,3639,22:00,2718,22:00,20258,21:54,134694,71357,53861
2025-01-13,Hábil,BUENO,23.0,26.9,31.4,8432,15:30,4417,15:30,3379,15:45,24814,15:32,163433,86501,66087
2025-01-14,Hábil,SEMINUBLADO,23.3,27.7,32.4,8739,14:45,4562,15:45,3537,15:30,25854,15:10,173323,91705,70276
2025-01-15,Hábil,BUENO,24.2,28.7,34.7,9247,15:30,4853,15:30,3724,15:30,27154,15:22,182889,97153,73903
2025-01-16,Hábil,SEMINUBLADO,26.2,30.1,36.1,10031,14:30,5270,14:45,4015,14:45,27696,14:02,195229,104315,78550
2025-01-17,Hábil,VARIABLE,23.9,27.7,32.7,9700,14:45,5088,14:45,3897,14:45,26586,14:54,186135,98880,75257
2025-01-18,No,VARIABLE,22.2,25.7,29.8,7114,14:00,3724,13:45,2862,14:30,21159,15:19,151254,80021,60838
2025-01-19,Feriado,VARIABLE,20.6,23.0,26.8,6102,00:15,3226,00:15,2433,00:15,17319,21:33,123899,64659,50071
2025-01-20,Hábil,SEMINUBLADO,18.5,22.7,26.9,6630,15:30,3405,15:30,2706,15:00,20549,16:22,131654,68717,53516
2025-01-21,Hábil,BUENO,20.7,25.2,29.1,7478,21:15,3945,21:30,2983,15:45,22814,16:22,145858,76707,59051
2025-01-22,Hábil,BUENO,23.7,29.6,35.7,9255,15:15,4829,15:45,3719,15:45,26156,15:51,176263,93021,71491
2025-01-23,Hábil,SEMINUBLADO,24.8,29.7,34.8,9883,14:45,5183,15:30,3959,15:30,26718,15:22,195603,104246,78717
2025-01-24,Hábil,VARIABLE,23.6,27.9,32.1,9225,14:30,4759,14:30,3755,14:30,25426,13:49,184755,97181,75331
2025-01-25,No,SEMINUBLADO,21.8,27.4,32.1,7438,15:15,3882,16:15,2923,15:45,22004,16:14,154234,81056,62203
2025-01-26,Feriado,SEMINUBLADO,23.4,28.2,32.0,7582,22:00,3928,22:00,3009,22:15,21116,22:32,146216,76921,58901
2025-01-27,Hábil,VARIABLE,23.2,26.1,29.2,8536,21:30,4515,21:30,3412,15:15,24160,15:08,169459,89578,68727
2025-01-28,Hábil,SEMINUBLADO,22.5,25.9,30.1,8846,15:30,4609,15:30,3538,15:30,23512,14:51,172417,91548,69517
2025-01-29,Hábil,SEMINUBLADO,21.7,26.1,31.2,8932,15:15,4677,15:45,3590,15:45,24935,15:39,171972,91164,69214
2025-01-30,Hábil,BUENO,24.2,26.3,29.6,8723,15:15,4561,15:30,3459,14:45,25891,15:23,173398,92394,69508
2025-01-31,Hábil,BUENO,23.0,26.2,30.1,8674,15:30,4532,15:30,3475,15:45,26262,15:39,170294,90566,68311
2025-02-01,No,SEMINUBLADO,23.6,27.9,32.2,8089,15:45,4291,15:30,3160,15:15,23783,15:40,163544,87161,65098
2025-02-02,Feriado,SEMINUBLADO,24.7,29.5,35.2,8687,22:00,4612,22:15,3382,22:15,23665,22:14,166189,88525,66112
2025-02-03,Hábil,SEMINUBLADO,26.3,31.3,37.2,10700,14:45,5591,15:45,4317,15:00,28615,14:06,207316,110053,83856
2025-02-04,Hábil,VARIABLE,23.8,26.9,31.3,8986,00:15,4844,00:15,3604,16:00,25233,15:28,184926,97250,75592
2025-02-05,Hábil,VARIABLE,21.2,23.3,25.4,7103,00:15,3765,00:15,2889,12:30,22746,13:41,153206,80266,62507
2025-02-06,Hábil,BUENO,19.0,24.2,28.9,7712,21:00,4030,21:15,3148,15:45,24581,16:12,151203,79096,61642
2025-02-07,Hábil,BUENO,22.2,27.1,31.4,8436,15:45,4365,15:45,3421,15:45,26093,14:22,166472,86996,68183
2025-02-08,No,SEMINUBLADO,23.8,28.5,32.6,8611,21:30,4525,21:30,3413,21:30,25127,15:49,166918,88047,67408
2025-02-09,Feriado,SEMINUBLADO,19.4,24.5,28.0,7734,00:15,4149,00:15,3092,00:15,22381,16:15,141996,75182,56709
2025-02-10,Hábil,SEMINUBLADO,23.7,30.5,38.5,10629,15:30,5586,15:30,4310,15:45,30257,14:47,195193,103419,79215
2025-02-11,Hábil,TORMENTOSO,16.7,22.9,28.5,9105,00:15,4904,00:15,3607,00:15,23723,15:08,156057,81910,63995
2025-02-12,Hábil,VARIABLE,21.0,22.9,25.9,6755,14:45,3479,21:00,2811,14:30,21496,14:58,141009,73177,58133
2025-02-13,Hábil,BUENO,20.6,25.1,30.3,7393,15:45,3808,15:45,3022,15:15,22096,15:28,146030,76355,59636
2025-02-14,Hábil,VARIABLE,21.7,24.3,28.2,7279,13:00,3765,13:30,2995,13:00,23357,14:45,141702,73631,58290
2025-02-15,No,VARIABLE,19.7,24.5,28.1,6874,21:00,3563,21:15,2726,21:00,20227,20:52,130584,67933,52961
2025-02-16,Feriado,SEMINUBLADO,23.0,25.8,30.3,6909,21:30,3569,21:30,2763,21:45,20039,21:35,134676,70215,54746
2025-02-17,Hábil,BUENO,17.3,25.5,31.9,8145,15:00,4221,15:45,3324,15:30,22317,15:44,155152,80966,63579
2025-02-18,Hábil,BUENO,13.1,18.4,22.5,6186,21:00,3227,21:00,2432,20:45,19108,21:10,124422,65002,50311
